VillianFault 1,2023-02-21T17:05:48.539Z
fighterSwitched 1,2023-02-21T17:05:59.916Z
VillianFault 2,2023-02-21T17:06:04.599Z
fighterSwitched 2,2023-02-21T17:06:08.109Z
fighterUndefined 1,2023-02-21T17:06:17.699Z
VillianFault 3,2023-02-21T17:06:27.201Z
fighterSwitched 3,2023-02-21T17:06:30.738Z
VillianFault 4,2023-02-21T17:06:51.662Z
fighterSwitched 4,2023-02-21T17:06:55.185Z
VillianFault 5,2023-02-21T17:06:59.916Z
VillianFault 6,2023-02-21T17:07:17.786Z
fighterSwitched 5,2023-02-21T17:07:21.457Z
fighterSwitched 6,2023-02-21T17:07:35.821Z
VillianFault 7,2023-02-21T17:07:40.590Z
VillianFault 8,2023-02-21T17:07:55.255Z
fighterSwitched 7,2023-02-21T17:08:02.760Z
VillianFault 9,2023-02-21T17:08:11.422Z
fighterSwitched 8,2023-02-21T17:08:26.894Z
fighterSwitched 9,2023-02-21T17:08:33.300Z
fighterUndefined 2,2023-02-21T17:08:42.681Z
fighterSwitched 10,2023-02-21T17:08:45.746Z
fighterSwitched 11,2023-02-21T17:09:12.148Z
VillianFault 10,2023-02-21T17:09:16.882Z
fighterSwitched 12,2023-02-21T17:09:20.395Z
VillianFault 11,2023-02-21T17:09:29.078Z
fighterSwitched 13,2023-02-21T17:09:32.795Z
fighterSwitched 14,2023-02-21T17:09:39.224Z
VillianFault 12,2023-02-21T17:09:44.015Z
fighterSwitched 15,2023-02-21T17:09:51.562Z
fighterUndefined 3,2023-02-21T17:09:57.058Z
VillianFault 13,2023-02-21T17:10:02.641Z
fighterSwitched 16,2023-02-21T17:10:10.569Z
fighterSwitched 17,2023-02-21T17:10:16.919Z
fighterSwitched 18,2023-02-21T17:10:27.135Z
VillianFault 14,2023-02-21T17:10:31.834Z
VillianFault 15,2023-02-21T17:10:37.815Z
fighterSwitched 19,2023-02-21T17:10:49.590Z
fighterUndefined 4,2023-02-21T17:10:55.099Z
fighterSwitched 20,2023-02-21T17:10:58.210Z
VillianFault 16,2023-02-21T17:11:06.910Z
fighterUndefined 5,2023-02-21T17:11:09.637Z
fighterUndefined 6,2023-02-21T17:11:20.564Z
fighterSwitched 21,2023-02-21T17:11:27.649Z
fighterUndefined 7,2023-02-21T17:11:37.200Z
VillianFault 17,2023-02-21T17:11:42.722Z
VillianFault 18,2023-02-21T17:11:48.742Z
fighterUndefined 8,2023-02-21T17:11:51.542Z
fighterSwitched 22,2023-02-21T17:11:54.672Z
VillianFault 19,2023-02-21T17:11:59.340Z
fighterSwitched 23,2023-02-21T17:12:02.944Z
VillianFault 20,2023-02-21T17:12:07.686Z
VillianFault 21,2023-02-21T17:12:17.434Z
fighterUndefined 9,2023-02-21T17:12:20.173Z
VillianFault 22,2023-02-21T17:12:26.001Z
VillianFault 23,2023-02-21T17:12:31.947Z
VillianFault 24,2023-02-21T17:12:37.910Z
fighterUndefined 10,2023-02-21T17:12:44.608Z
VillianFault 25,2023-02-21T17:12:50.092Z
fighterSwitched 24,2023-02-21T17:12:53.613Z
fighterSwitched 25,2023-02-21T17:12:59.830Z
fighterSwitched 26,2023-02-21T17:13:06.430Z
VillianFault 26,2023-02-21T17:13:15.080Z
fighterSwitched 27,2023-02-21T17:13:18.632Z
fighterUndefined 11,2023-02-21T17:13:39.766Z
fighterSwitched 28,2023-02-21T17:13:46.827Z
VillianFault 27,2023-02-21T17:13:51.561Z
VillianFault 28,2023-02-21T17:14:01.452Z
VillianFault 29,2023-02-21T17:14:07.305Z
VillianFault 30,2023-02-21T17:14:13.354Z
VillianFault 31,2023-02-21T17:14:19.320Z
fighterSwitched 29,2023-02-21T17:14:22.860Z
fighterUndefined 12,2023-02-21T17:14:28.394Z
fighterSwitched 30,2023-02-21T17:15:19.436Z
